Time diff;Memory (KB);Thread id
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
0;5892;140288791480128
14392857;5892;140288791480128
13625021;5892;140288791480128
13964819;5892;140288791480128
14431473;5892;140288791480128
13888232;5892;140288791480128
13717911;5892;140288791480128
13704301;5892;140288791480128
14009510;5892;140288791480128
14074092;5892;140288791480128
19375420;5892;140288791480128
16835878;5892;140288791480128
16076710;5892;140288791480128
16341207;5892;140288791480128
16819499;5892;140288791480128
16264662;5892;140288791480128
16120644;5892;140288791480128
16077445;5892;140288791480128
16407458;5892;140288791480128
16521215;5892;140288791480128
21752082;5892;140288791480128
19256997;5892;140288791480128
18505299;5892;140288791480128
18736388;5892;140288791480128
19219041;5892;140288791480128
18757153;5892;140288791480128
18500453;5892;140288791480128
18491605;5892;140288791480128
18779274;5892;140288791480128
18909032;5892;140288791480128
24125976;5892;140288791480128
21668822;5892;140288791480128
21104709;5892;140288791480128
21525673;5892;140288791480128
21646662;5892;140288791480128
21218976;5892;140288791480128
20931264;5892;140288791480128
20879845;5892;140288791480128
21192064;5892;140288791480128
21350624;5892;140288791480128
26543345;5892;140288791480128
21986754;5892;140288791480128
21951824;5892;140288791480128
21843394;5892;140288791480128
21951571;5892;140288791480128
21528061;5892;140288791480128
21250157;5892;140288791480128
21186253;5892;140288791480128
21496840;5892;140288791480128
21658449;5892;140288791480128
26847875;5892;140288791480128
23719225;5892;140288791480128
23958972;5892;140288791480128
23575643;5892;140288791480128
23652336;5892;140288791480128
23240510;5892;140288791480128
22959749;5892;140288791480128
22884401;5892;140288791480128
23221447;5892;140288791480128
23358957;5892;140288791480128
28543653;5892;140288791480128
28305558;5892;140288791480128
28432244;5892;140288791480128
28126798;5892;140288791480128
28117515;5892;140288791480128
27691960;5892;140288791480128
27390529;5892;140288791480128
27268087;5892;140288791480128
27610218;5892;140288791480128
27841447;5892;140288791480128
32914888;5892;140288791480128
28635580;5892;140288791480128
28755805;5892;140288791480128
28488855;5892;140288791480128
28442621;5892;140288791480128
28015875;5892;140288791480128
27717017;5892;140288791480128
27591829;5892;140288791480128
27936170;5892;140288791480128
28165757;5892;140288791480128
33238881;5892;140288791480128
30524135;5892;140288791480128
30662128;5892;140288791480128
30540255;5892;140288791480128
30327991;5892;140288791480128
29924134;5892;140288791480128
29588797;5892;140288791480128
29464664;5892;140288791480128
29818357;5892;140288791480128
30076506;5892;140288791480128
35143146;5892;140288791480128
35376672;5892;140288791480128
35719951;5892;140288791480128
35535340;5892;140288791480128
35168618;5892;140288791480128
34786164;5892;140288791480128
34424433;5892;140288791480128
34313530;5892;140288791480128
34661430;5892;140288791480128
35031850;5892;140288791480128
39983222;5892;140288791480128
36695805;5892;140288791480128
37068253;5892;140288791480128
36852711;5892;140288791480128
36518333;5892;140288791480128
36108855;5892;140288791480128
35763840;5892;140288791480128
35689580;5892;140288791480128
35983040;5892;140288791480128
36391279;5892;140288791480128
41296441;5892;140288791480128
39552820;5892;140288791480128
39882778;5892;140288791480128
39998792;5892;140288791480128
39358113;5892;140288791480128
38927472;5892;140288791480128
39187292;5892;140288791480128
38509111;5892;140288791480128
38840670;5892;140288791480128
39205901;5892;140288791480128
44126908;5892;140288791480128
39911215;5892;140288791480128
40247371;5892;140288791480128
40336860;5892;140288791480128
39717376;5892;140288791480128
39266337;5892;140288791480128
39548617;5892;140288791480128
38850726;5892;140288791480128
39179412;5892;140288791480128
39544065;5892;140288791480128
44474965;5892;140288791480128
40242561;5892;140288791480128
40576046;5892;140288791480128
40643603;5892;140288791480128
40026036;5892;140288791480128
39573238;5892;140288791480128
39887693;5892;140288791480128
39179144;5892;140288791480128
39502634;5892;140288791480128
39873281;5892;140288791480128
44823928;5892;140288791480128
41784386;5892;140288791480128
42172751;5892;140288791480128
42182195;5892;140288791480128
41591295;5892;140288791480128
41122880;5892;140288791480128
41441322;5892;140288791480128
41154754;5892;140288791480128
41116223;5892;140288791480128
41452090;5892;140288791480128
46367025;5892;140288791480128
43394665;5892;140288791480128
43767402;5892;140288791480128
43818192;5892;140288791480128
43205712;5892;140288791480128
42722935;5892;140288791480128
43276748;5892;140288791480128
43232661;5892;140288791480128
42728234;5892;140288791480128
43046551;5892;140288791480128
48001132;5892;140288791480128
43714045;5892;140288791480128
44077438;5892;140288791480128
44122542;5892;140288791480128
43532115;5892;140288791480128
43030457;5892;140288791480128
43608136;5892;140288791480128
43550167;5892;140288791480128
43035250;5892;140288791480128
43353644;5892;140288791480128
48309126;5892;140288791480128
45303134;5892;140288791480128
45671098;5892;140288791480128
45749402;5892;140288791480128
45119139;5892;140288791480128
44619568;5892;140288791480128
45441917;5892;140288791480128
45153283;5892;140288791480128
44612514;5892;140288791480128
44976967;5892;140288791480128
49887084;5892;140288791480128
49745897;5892;140288791480128
50124885;5892;140288791480128
50286051;5892;140288791480128
49669249;5892;140288791480128
49101549;5892;140288791480128
50238538;5892;140288791480128
49548970;5892;140288791480128
48997826;5892;140288791480128
49407426;5892;140288791480128
54739536;5892;140288791480128
50123307;5892;140288791480128
50527767;5892;140288791480128
50724815;5892;140288791480128
50031440;5892;140288791480128
49461549;5892;140288791480128
50725457;5892;140288791480128
49905946;5892;140288791480128
49358953;5892;140288791480128
49765546;5892;140288791480128
55150810;5892;140288791480128
50488506;5892;140288791480128
50868299;5892;140288791480128
51058086;5892;140288791480128
50373271;5892;140288791480128
49769142;5892;140288791480128
51079239;5892;140288791480128
50255065;5892;140288791480128
49666250;5892;140288791480128
50073953;5892;140288791480128
55460843;5892;140288791480128
52194271;5892;140288791480128
52545137;5892;140288791480128
52782921;5892;140288791480128
52193651;5892;140288791480128
51605598;5892;140288791480128
52726890;5892;140288791480128
52059960;5892;140288791480128
51543014;5892;140288791480128
51923080;5892;140288791480128
57059713;5892;140288791480128
54129413;5892;140288791480128
54495862;5892;140288791480128
54824209;5892;140288791480128
54217345;5892;140288791480128
53550265;5892;140288791480128
54683770;5892;140288791480128
53988829;5892;140288791480128
53447148;5892;140288791480128
53938933;5892;140288791480128
58945865;5892;140288791480128
54435797;5892;140288791480128
54805416;5892;140288791480128
55177820;5892;140288791480128
54528004;5892;140288791480128
53866837;5892;140288791480128
55008429;5892;140288791480128
54302968;5892;140288791480128
53759762;5892;140288791480128
54251857;5892;140288791480128
59257423;5892;140288791480128
56149649;5892;140288791480128
56511446;5892;140288791480128
57015999;5892;140288791480128
56282905;5892;140288791480128
55571754;5892;140288791480128
56703521;5892;140288791480128
56006223;5892;140288791480128
55522580;5892;140288791480128
55972370;5892;140288791480128
60968947;5892;140288791480128
59499173;5892;140288791480128
59906147;5892;140288791480128
60523697;5892;140288791480128
59679621;5892;140288791480128
58956655;5892;140288791480128
60090060;5892;140288791480128
59349720;5892;140288791480128
58877541;5892;140288791480128
59476625;5892;140288791480128
64336483;5892;140288791480128
61012199;5892;140288791480128
61389658;5892;140288791480128
62027544;5892;140288791480128
61164188;5892;140288791480128
60439813;5892;140288791480128
61714556;5892;140288791480128
60883624;5892;140288791480128
60386727;5892;140288791480128
60994968;5892;140288791480128
65889225;5892;140288791480128
62320722;5892;140288791480128
62628318;5892;140288791480128
63303180;5892;140288791480128
62388111;5892;140288791480128
61711516;5892;140288791480128
63045905;5892;140288791480128
62154082;5892;140288791480128
61637375;5892;140288791480128
62267459;5892;140288791480128
67142766;5892;140288791480128
64807509;5892;140288791480128
65073836;5892;140288791480128
65747312;5892;140288791480128
64828909;5892;140288791480128
64193745;5892;140288791480128
65523630;5892;140288791480128
64627610;5892;140288791480128
64096279;5892;140288791480128
64768259;5892;140288791480128
69590294;5892;140288791480128
65156082;5892;140288791480128
65408206;5892;140288791480128
66075819;5892;140288791480128
65157762;5892;140288791480128
64522031;5892;140288791480128
65875110;5892;140288791480128
64980600;5892;140288791480128
64447687;5892;140288791480128
65121797;5892;140288791480128
69941127;5892;140288791480128
65465962;5892;140288791480128
65718058;5892;140288791480128
66380165;5892;140288791480128
65462470;5892;140288791480128
64824336;5892;140288791480128
66187787;5892;140288791480128
65294208;5892;140288791480128
64761875;5892;140288791480128
65437940;5892;140288791480128
70260399;5892;140288791480128
66882157;5892;140288791480128
67117246;5892;140288791480128
67759863;5892;140288791480128
66854095;5892;140288791480128
66237997;5892;140288791480128
67621004;5892;140288791480128
66716243;5892;140288791480128
66159498;5892;140288791480128
66867915;5892;140288791480128
71661993;5892;140288791480128
68326697;5892;140288791480128
68551017;5892;140288791480128
69189472;5892;140288791480128
68312674;5892;140288791480128
67678146;5892;140288791480128
69091428;5892;140288791480128
68162272;5892;140288791480128
67648112;5892;140288791480128
68318751;5892;140288791480128
73139861;5892;140288791480128
68627435;5892;140288791480128
68851151;5892;140288791480128
69490552;5892;140288791480128
68615721;5892;140288791480128
67980291;5892;140288791480128
69417899;5892;140288791480128
68485776;5892;140288791480128
67958657;5892;140288791480128
68626955;5892;140288791480128
73464580;5892;140288791480128
70064931;5892;140288791480128
70242533;5892;140288791480128
70903972;5892;140288791480128
70023813;5892;140288791480128
69401329;5892;140288791480128
70875445;5892;140288791480128
69911604;5892;140288791480128
69360282;5892;140288791480128
70036552;5892;140288791480128
74905867;5892;140288791480128
72975712;5892;140288791480128
73199867;5892;140288791480128
74020189;5892;140288791480128
73023327;5892;140288791480128
72348670;5892;140288791480128
73783883;5892;140288791480128
72861247;5892;140288791480128
72328581;5892;140288791480128
73011788;5892;140288791480128
77932165;5892;140288791480128
73973670;5892;140288791480128
