Reported memory usage
Time diff;Memory (KB);Thread id
0;5900;139919947654976
921246551;94600;139919947654976
1178355083;98560;139919947654976
1460826809;101728;139919947654976
1642752944;104632;139919947654976
1784197941;107536;139919947654976
1924000696;110440;139919947654976
1950398399;110440;139919947654976
2024213395;110440;139919947654976
2043376551;110440;139919947654976
2151655546;110440;139919947654976
5662058715;110440;139919947654976
5809392251;110440;139919947654976
5903517574;110440;139919947654976
6015641324;110440;139919947654976
9287313366;110440;139919947654976
12550080599;110440;139919947654976
15287970085;110440;139919947654976
18154463222;110440;139919947654976
23390487453;110440;139919947654976
23510957344;110440;139919947654976
23647437145;110440;139919947654976
23711456099;110440;139919947654976
23727720974;110440;139919947654976
23821422416;110440;139919947654976
27041478774;110440;139919947654976
27206853686;110440;139919947654976
30316598128;110440;139919947654976
33132629783;110440;139919947654976
36099024652;110440;139919947654976
41485548405;110440;139919947654976
41617243311;110440;139919947654976
41782009069;110440;139919947654976
44901290056;110440;139919947654976
47754483046;110440;139919947654976
50772697070;110440;139919947654976
56246825799;110440;139919947654976
56414322615;110440;139919947654976
62320913009;110440;139919947654976
65203269812;110440;139919947654976
68263609735;110440;139919947654976
73885893504;110440;139919947654976
74001140644;110704;139919947654976
74113414165;110704;139919947654976
74242893047;110704;139919947654976
74323998479;110704;139919947654976
74422269938;110704;139919947654976
77905199539;110704;139919947654976
81233458869;110704;139919947654976
84135771750;110968;139919947654976
87299590051;110968;139919947654976
92708310814;110968;139919947654976
92838038793;110968;139919947654976
96101146471;110968;139919947654976
99059390235;110968;139919947654976
104411518755;110968;139919947654976
107687923999;110968;139919947654976
110545575808;110968;139919947654976
113517235065;110968;139919947654976
118977605380;110968;139919947654976
119092669896;110968;139919947654976
119224572079;110968;139919947654976
119390296918;110968;139919947654976
122601739634;110968;139919947654976
125499190961;110968;139919947654976
128553252973;110968;139919947654976
134108091223;110968;139919947654976
134274084482;110968;139919947654976
140303253658;111232;139919947654976
143233973115;111232;139919947654976
146326781693;111232;139919947654976
151951559843;111232;139919947654976
152084352134;111232;139919947654976
152249211618;111232;139919947654976
158222173892;111232;139919947654976
161137612523;111232;139919947654976
164208831187;111232;139919947654976
169782496375;111232;139919947654976
169951969690;111232;139919947654976
175982430739;111232;139919947654976
178921258461;111232;139919947654976
182034429028;111232;139919947654976
188000571456;111232;139919947654976
188159763869;111232;139919947654976
188309351274;111232;139919947654976
188422664010;111232;139919947654976
188535489139;111232;139919947654976
188558254848;111232;139919947654976
188580628233;111232;139919947654976
188621574782;111232;139919947654976
188638266180;111232;139919947654976
188741677337;111232;139919947654976
191780231433;111232;139919947654976
191908432654;111232;139919947654976
191930493134;111232;139919947654976
191970366762;111232;139919947654976
191986679430;111232;139919947654976
192088204790;111232;139919947654976
195146638276;111232;139919947654976
195261129737;111232;139919947654976
198163816674;111232;139919947654976
198289887958;111232;139919947654976
198305152237;111232;139919947654976
201200124974;111232;139919947654976
203851169278;111232;139919947654976
206633914324;111232;139919947654976
211681930255;111232;139919947654976
211796565037;111232;139919947654976
211925840722;111232;139919947654976
211947954081;111232;139919947654976
211988932752;111232;139919947654976
212005516564;111232;139919947654976
212108356768;111232;139919947654976
215274999220;111232;139919947654976
215386793947;111232;139919947654976
218407168574;111232;139919947654976
218535638082;111232;139919947654976
218550837382;111232;139919947654976
218647846578;111232;139919947654976
221573457122;111232;139919947654976
224371361356;111232;139919947654976
227247409054;111232;139919947654976
232472791043;111232;139919947654976
232600985091;111232;139919947654976
232711450580;111232;139919947654976
235717288086;111232;139919947654976
235846515185;111232;139919947654976
235861838060;111232;139919947654976
235959340616;111232;139919947654976
238870558515;111232;139919947654976
241657570681;111232;139919947654976
244515303416;111232;139919947654976
249715526353;111232;139919947654976
249826484290;111232;139919947654976
255734343273;111232;139919947654976
255863368111;111232;139919947654976
258577426722;111232;139919947654976
261369520040;111232;139919947654976
266302279135;111232;139919947654976
269110259957;111232;139919947654976
271992141198;111232;139919947654976
277366459375;111232;139919947654976
277479774782;111232;139919947654976
277591721679;111232;139919947654976
277719667349;111232;139919947654976
277741499276;111232;139919947654976
277781434220;111232;139919947654976
277797998606;111232;139919947654976
277900406063;111232;139919947654976
281023978519;111232;139919947654976
281132900067;111232;139919947654976
284140435281;111232;139919947654976
284266670040;111232;139919947654976
284281700491;111232;139919947654976
287285069791;111232;139919947654976
290036748364;111232;139919947654976
292892129031;111232;139919947654976
298108872233;111232;139919947654976
298237353014;111232;139919947654976
298345820660;111232;139919947654976
301376994773;111232;139919947654976
301504338304;111232;139919947654976
301519502311;111232;139919947654976
304516755967;111232;139919947654976
307290606328;111232;139919947654976
310245342308;111232;139919947654976
315448034907;111232;139919947654976
315556276918;111232;139919947654976
321431650788;111232;139919947654976
321558375367;111232;139919947654976
324254713321;111232;139919947654976
329961976402;111232;139919947654976
332728548199;111232;139919947654976
335604795351;111232;139919947654976
340874551409;111232;139919947654976
340991131924;111232;139919947654976
341121037069;111232;139919947654976
341232003337;111232;139919947654976
344357522184;111232;139919947654976
344486192239;111232;139919947654976
344501705318;111232;139919947654976
344598298553;111232;139919947654976
347635058314;111232;139919947654976
350522514454;111232;139919947654976
353485819839;111232;139919947654976
358913110096;111232;139919947654976
359024552945;111232;139919947654976
365223710524;111232;139919947654976
365352774942;111232;139919947654976
368187257049;111232;139919947654976
371101922752;111232;139919947654976
376298897967;111232;139919947654976
379225233886;111232;139919947654976
382227630079;111232;139919947654976
387734500498;111232;139919947654976
387863925943;111232;139919947654976
387975868388;111232;139919947654976
394086141164;111232;139919947654976
394214911418;111232;139919947654976
397039432656;111232;139919947654976
399937445871;111232;139919947654976
405072598835;111232;139919947654976
407977708669;111232;139919947654976
410955541259;111232;139919947654976
416398039525;111232;139919947654976
416509875502;111232;139919947654976
422715647065;111232;139919947654976
422844894842;111232;139919947654976
425693648819;111232;139919947654976
428611821447;111232;139919947654976
433799976227;111232;139919947654976
436750309675;111232;139919947654976
439774046101;111232;139919947654976
445466635725;111496;139919947654976
445658340695;111496;139919947654976
445760493355;111496;139919947654976
445857448122;111496;139919947654976
445948633625;114136;139919947654976
445952529951;114136;139919947654976
448545950017;114136;139919947654976
448639108914;114136;139919947654976
451241187408;114136;139919947654976
456544508864;114136;139919947654976
456642229908;114136;139919947654976
456741703531;114136;139919947654976
456842101656;114136;139919947654976
459522752329;114136;139919947654976
459710265616;114136;139919947654976
462446145207;114136;139919947654976
467413459836;114136;139919947654976
467512819908;114136;139919947654976
467701483954;114136;139919947654976
470499111733;114136;139919947654976
475577217058;114136;139919947654976
475789942437;114136;139919947654976
480939369566;114136;139919947654976
486151012511;114136;139919947654976
486284749172;114136;139919947654976
486409140188;119416;139919947654976
486535657229;123640;139919947654976
486559998972;123640;139919947654976
486585349997;123640;139919947654976
486594056695;123640;139919947654976
486611681158;123640;139919947654976
486620496090;123640;139919947654976
486629280311;123640;139919947654976
486647172593;123640;139919947654976
486738932306;123640;139919947654976
486757277645;123640;139919947654976
489917411821;123640;139919947654976
490054378205;123640;139919947654976
490079210186;123640;139919947654976
490087935161;123640;139919947654976
490105485270;123640;139919947654976
490114313280;123640;139919947654976
490123003142;123640;139919947654976
490140633797;123640;139919947654976
490230408874;123640;139919947654976
490248547101;123640;139919947654976
493372389745;123640;139919947654976
493524083465;124168;139919947654976
493542858177;124168;139919947654976
493563204283;124168;139919947654976
493675850240;124168;139919947654976
496584259824;124168;139919947654976
496714343657;124168;139919947654976
499375679183;124168;139919947654976
501696624037;124168;139919947654976
501806173551;124168;139919947654976
504472966154;124168;139919947654976
504563755499;124168;139919947654976
507031604199;124168;139919947654976
507127402785;124168;139919947654976
507218972627;124168;139919947654976
509832230433;124168;139919947654976
509996471619;124168;139919947654976
510011644136;124168;139919947654976
512753246769;124168;139919947654976
515159123578;124168;139919947654976
520450147347;124168;139919947654976
520580762950;124168;139919947654976
520721217197;124168;139919947654976
520746427783;124168;139919947654976
520754924048;124168;139919947654976
520772395482;124168;139919947654976
520781197794;124168;139919947654976
520789828088;124168;139919947654976
520807733478;124168;139919947654976
520897639656;124168;139919947654976
520916092666;124168;139919947654976
521061562091;124168;139919947654976
524127161962;124168;139919947654976
524280205117;124168;139919947654976
524296181099;124168;139919947654976
524312938276;124168;139919947654976
524415587057;124168;139919947654976
527402427709;124168;139919947654976
527534819992;124168;139919947654976
530265893554;124168;139919947654976
532643564221;124168;139919947654976
532740907267;124168;139919947654976
532754378717;124168;139919947654976
535481384093;124168;139919947654976
535574768582;124168;139919947654976
538136698448;124168;139919947654976
538235460117;124168;139919947654976
538327996535;124168;139919947654976
541029591728;124168;139919947654976
541197702692;124168;139919947654976
541212942349;124168;139919947654976
544042039381;124168;139919947654976
546525103535;124168;139919947654976
