Time diff;Memory (KB);Thread id
0;5892;140471303735104
0;5892;140471303735104
0;5892;140471303735104
0;5896;140471303735104
0;5896;140471303735104
0;5896;140471303735104
0;5896;140471303735104
0;5896;140471303735104
0;5896;140471303735104
0;5896;140471303735104
14440095;5892;140471303735104
13908972;5892;140471303735104
13488679;5892;140471303735104
14017892;5896;140471303735104
13437880;5896;140471303735104
13652654;5896;140471303735104
14119870;5896;140471303735104
13631139;5896;140471303735104
13576933;5896;140471303735104
13589091;5896;140471303735104
16795536;5892;140471303735104
16226441;5892;140471303735104
15811554;5892;140471303735104
16329918;5896;140471303735104
15749194;5896;140471303735104
15944442;5896;140471303735104
16401556;5896;140471303735104
15919745;5896;140471303735104
15913604;5896;140471303735104
15873329;5896;140471303735104
18847763;5892;140471303735104
18232097;5892;140471303735104
17824009;5892;140471303735104
18333633;5896;140471303735104
17757263;5896;140471303735104
17980961;5896;140471303735104
18419715;5896;140471303735104
17921584;5896;140471303735104
17919727;5896;140471303735104
17904971;5896;140471303735104
19855397;5892;140471303735104
19175805;5892;140471303735104
18757897;5892;140471303735104
19337694;5896;140471303735104
18690722;5896;140471303735104
18919595;5896;140471303735104
19352356;5896;140471303735104
18855075;5896;140471303735104
18859787;5896;140471303735104
18838381;5896;140471303735104
20483097;5892;140471303735104
19810791;5892;140471303735104
19391683;5892;140471303735104
19949113;5896;140471303735104
19326787;5896;140471303735104
19531922;5896;140471303735104
19963593;5896;140471303735104
19468526;5896;140471303735104
19474169;5896;140471303735104
19450744;5896;140471303735104
22177207;5892;140471303735104
21503149;5892;140471303735104
21050720;5892;140471303735104
21623668;5896;140471303735104
21006591;5896;140471303735104
21186179;5896;140471303735104
21625378;5896;140471303735104
21174195;5896;140471303735104
21166131;5896;140471303735104
21111705;5896;140471303735104
22453929;5892;140471303735104
21769810;5892;140471303735104
21300870;5892;140471303735104
21870965;5896;140471303735104
21272126;5896;140471303735104
21435617;5896;140471303735104
21912726;5896;140471303735104
21426335;5896;140471303735104
21417992;5896;140471303735104
21361821;5896;140471303735104
22693724;5892;140471303735104
22006197;5892;140471303735104
21523780;5892;140471303735104
22092793;5896;140471303735104
21508998;5896;140471303735104
21659255;5896;140471303735104
22136022;5896;140471303735104
21649302;5896;140471303735104
21639738;5896;140471303735104
21588171;5896;140471303735104
23652073;5892;140471303735104
22948842;5892;140471303735104
22487294;5892;140471303735104
23062624;5896;140471303735104
22460001;5896;140471303735104
22599661;5896;140471303735104
23112776;5896;140471303735104
22586542;5896;140471303735104
22613246;5896;140471303735104
22526346;5896;140471303735104
24611911;5892;140471303735104
23911884;5892;140471303735104
23453350;5892;140471303735104
24034606;5896;140471303735104
23430640;5896;140471303735104
23567225;5896;140471303735104
24102434;5896;140471303735104
23551253;5896;140471303735104
23609703;5896;140471303735104
23516918;5896;140471303735104
24829987;5892;140471303735104
24156571;5892;140471303735104
23675270;5892;140471303735104
24256186;5896;140471303735104
23653443;5896;140471303735104
23789290;5896;140471303735104
24324579;5896;140471303735104
23772741;5896;140471303735104
23834027;5896;140471303735104
23737926;5896;140471303735104
25771984;5892;140471303735104
25101056;5892;140471303735104
24626333;5892;140471303735104
25270015;5896;140471303735104
24601878;5896;140471303735104
24760664;5896;140471303735104
25272448;5896;140471303735104
24718766;5896;140471303735104
24814708;5896;140471303735104
24690993;5896;140471303735104
28213228;5892;140471303735104
27506202;5892;140471303735104
27064052;5892;140471303735104
27768105;5896;140471303735104
27041386;5896;140471303735104
27201529;5896;140471303735104
27736416;5896;140471303735104
27175132;5896;140471303735104
27301133;5896;140471303735104
27163008;5896;140471303735104
28471878;5892;140471303735104
27773700;5892;140471303735104
27332226;5892;140471303735104
28030180;5896;140471303735104
27309593;5896;140471303735104
27465567;5896;140471303735104
27999238;5896;140471303735104
27433706;5896;140471303735104
27561271;5896;140471303735104
27426540;5896;140471303735104
28695275;5892;140471303735104
28001130;5892;140471303735104
27560205;5892;140471303735104
28258981;5896;140471303735104
27539175;5896;140471303735104
27692203;5896;140471303735104
28227654;5896;140471303735104
27670532;5896;140471303735104
27791105;5896;140471303735104
27655109;5896;140471303735104
29680705;5892;140471303735104
28985277;5892;140471303735104
28552212;5892;140471303735104
29252681;5896;140471303735104
28530391;5896;140471303735104
28685889;5896;140471303735104
29218482;5896;140471303735104
28661436;5896;140471303735104
28815051;5896;140471303735104
28648931;5896;140471303735104
30734543;5892;140471303735104
29998305;5892;140471303735104
29576538;5892;140471303735104
30282353;5896;140471303735104
29554189;5896;140471303735104
29709732;5896;140471303735104
30249076;5896;140471303735104
29685724;5896;140471303735104
29866007;5896;140471303735104
29680118;5896;140471303735104
30961557;5892;140471303735104
30222513;5892;140471303735104
29809080;5892;140471303735104
30510007;5896;140471303735104
29781522;5896;140471303735104
29941799;5896;140471303735104
30478677;5896;140471303735104
29911945;5896;140471303735104
30099183;5896;140471303735104
29909327;5896;140471303735104
31977082;5892;140471303735104
31232090;5892;140471303735104
30828993;5892;140471303735104
31569860;5896;140471303735104
30822010;5896;140471303735104
30988095;5896;140471303735104
31502859;5896;140471303735104
30934355;5896;140471303735104
31170466;5896;140471303735104
30931617;5896;140471303735104
33282479;5892;140471303735104
32528058;5892;140471303735104
32140211;5892;140471303735104
32877913;5896;140471303735104
32152571;5896;140471303735104
32267772;5896;140471303735104
32784012;5896;140471303735104
32358634;5896;140471303735104
32461014;5896;140471303735104
32214146;5896;140471303735104
34966584;5892;140471303735104
34176428;5892;140471303735104
33833154;5892;140471303735104
34542971;5896;140471303735104
33820485;5896;140471303735104
33978609;5896;140471303735104
34454911;5896;140471303735104
34025764;5896;140471303735104
34152775;5896;140471303735104
33906176;5896;140471303735104
35221805;5892;140471303735104
34430523;5892;140471303735104
34086235;5892;140471303735104
34793439;5896;140471303735104
34073096;5896;140471303735104
34230272;5896;140471303735104
34706718;5896;140471303735104
34278781;5896;140471303735104
34402781;5896;140471303735104
34164218;5896;140471303735104
35454796;5892;140471303735104
34651769;5892;140471303735104
34310457;5892;140471303735104
35044278;5896;140471303735104
34296792;5896;140471303735104
34453109;5896;140471303735104
34929457;5896;140471303735104
34500913;5896;140471303735104
34612470;5896;140471303735104
34386698;5896;140471303735104
36392360;5892;140471303735104
35580714;5892;140471303735104
35271464;5892;140471303735104
35989252;5896;140471303735104
35278578;5896;140471303735104
35398097;5896;140471303735104
35867237;5896;140471303735104
35441351;5896;140471303735104
35574106;5896;140471303735104
35326129;5896;140471303735104
37348178;5892;140471303735104
36551840;5892;140471303735104
36242737;5892;140471303735104
36963709;5896;140471303735104
36250171;5896;140471303735104
36369073;5896;140471303735104
36835391;5896;140471303735104
36434699;5896;140471303735104
36571618;5896;140471303735104
36293318;5896;140471303735104
37565561;5892;140471303735104
36772605;5892;140471303735104
36465310;5892;140471303735104
37185065;5896;140471303735104
36473049;5896;140471303735104
36592344;5896;140471303735104
37055915;5896;140471303735104
36656784;5896;140471303735104
36793400;5896;140471303735104
36512652;5896;140471303735104
38545394;5892;140471303735104
37720141;5892;140471303735104
37417815;5892;140471303735104
38142412;5896;140471303735104
37424704;5896;140471303735104
37546695;5896;140471303735104
38035403;5896;140471303735104
37628030;5896;140471303735104
37771217;5896;140471303735104
37479033;5896;140471303735104
41083078;5892;140471303735104
40276485;5892;140471303735104
40008583;5892;140471303735104
40740343;5896;140471303735104
39997397;5896;140471303735104
40111789;5896;140471303735104
40596714;5896;140471303735104
40217981;5896;140471303735104
40354281;5896;140471303735104
40039675;5896;140471303735104
41340712;5892;140471303735104
40537745;5892;140471303735104
40271886;5892;140471303735104
40992920;5896;140471303735104
40261765;5896;140471303735104
40374034;5896;140471303735104
40858879;5896;140471303735104
40479021;5896;140471303735104
40614824;5896;140471303735104
40301067;5896;140471303735104
41558146;5892;140471303735104
40764640;5892;140471303735104
40500047;5892;140471303735104
41243532;5896;140471303735104
40493204;5896;140471303735104
40603094;5896;140471303735104
41087233;5896;140471303735104
40706009;5896;140471303735104
40842494;5896;140471303735104
40529475;5896;140471303735104
42592167;5892;140471303735104
41752056;5892;140471303735104
41495001;5892;140471303735104
42245613;5896;140471303735104
41487717;5896;140471303735104
41597633;5896;140471303735104
42117582;5896;140471303735104
41697658;5896;140471303735104
41865178;5896;140471303735104
41562437;5896;140471303735104
43622268;5892;140471303735104
42772059;5892;140471303735104
42529118;5892;140471303735104
43302942;5896;140471303735104
42517825;5896;140471303735104
42631334;5896;140471303735104
43160174;5896;140471303735104
42725508;5896;140471303735104
42890366;5896;140471303735104
42594307;5896;140471303735104
